sleeper_id,adp_dd_ppr,pts_std,pts_ppr,pts_half_ppr,pos_adp_dd_ppr,idp_tkl_solo,idp_tkl_ast,idp_tkl,idp_sack,idp_ff,gp,rec_yd,rec_tgt,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,bonus_rec_te,xpmiss,xpm,xpa,fgmiss_50p,fgmiss_40_49,fgmiss_30_39,fgm_yds,fgm_50p,fgm_40_49,fgm_30_39,fgm_20_29,fgm,fga,rush_yd,rush_td,rush_fd,rush_att,fum_lost,bonus_rec_rb,idp_int,idp_fum_rec,idp_tkl_loss,bonus_rec_wr,yds_allow_300_349,yds_allow,tkl_loss,safe,sack,pts_allow_14_20,pts_allow,pr_yd,pass_int_td,int,fum_rec,ff,def_td,def_pr_yd,def_kr_yd,def_fum_td,blk_kick,rush_40p,fum,rush_2pt,yds_allow_200_299,st_td,pr_td,def_pr_td,rec_td_40p,rec_2pt,idp_pass_def,idp_int_ret_yd,pass_yd,pass_td_40p,pass_td,pass_sack,pass_int,pass_inc,pass_fd,pass_cmp_40p,pass_cmp,pass_att,pass_2pt,cmp_pct,idp_sack_yd,idp_qb_hit,pr,yds_allow_350_399,pts_allow_21_27,fgm_0_19,def_kr_td,pts_allow_28_34,week,yds_allow_400_449,yahoo_id,yahoo_name,player_id,name,status,position_type,eligible_positions,selected_position,team_id,team_name,shape,scale
4137,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30218,James Conner,30218,James Conner,,O,"['RB', 'W/R/T']",RB,12,Pietism,3.3952014486192800,2.9453333333333300
10236,61.0,6.08,9.57,7.82,7.0,,,,,,1.0,41.0,5.1,0.33,4.1,0.7,0.35,0.35,0.7,1.05,0.7,3.49,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,40048,Dalton Kincaid,40048,Dalton Kincaid,,O,"['TE', 'W/R/T']",TE,12,Pietism,2.857150322950550,2.7684927658379000
10236,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,40048,Dalton Kincaid,40048,Dalton Kincaid,,O,"['TE', 'W/R/T']",TE,12,Pietism,2.857150322950550,2.7684927658379000
10236,88.0,5.11,8.49,6.8,12.0,,,,,,1.0,35.51,5.1,0.26,3.55,0.68,0.34,0.34,0.68,1.01,0.68,3.38,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,40048,Dalton Kincaid,40048,Dalton Kincaid,,O,"['TE', 'W/R/T']",TE,12,Pietism,2.857150322950550,2.7684927658379000
4098,128.0,7.9,8.61,8.26,35.0,,,,,,1.0,5.71,1.1,0.2,0.57,0.14,0.07,0.07,0.14,0.21,0.14,0.71,,,,,,,,,,,,,,,39.26,0.4,3.93,10.6,0.1,0.71,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30199,Kareem Hunt,30199,Kareem Hunt,,O,"['RB', 'W/R/T']",W/R/T,12,Pietism,3.17906109465833,2.862480376766090
4098,125.0,6.4,7.14,6.77,33.0,,,,,,1.0,5.94,1.1,0.07,0.59,0.15,0.07,0.07,0.15,0.22,0.15,0.74,,,,,,,,,,,,,,,40.79,0.25,4.08,10.6,0.1,0.74,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30199,Kareem Hunt,30199,Kareem Hunt,,O,"['RB', 'W/R/T']",W/R/T,12,Pietism,3.17906109465833,2.862480376766090
4098,154.0,6.88,7.68,7.28,35.0,,,,,,1.0,6.38,1.1,0.08,0.64,0.16,0.08,0.08,0.16,0.24,0.16,0.79,,,,,,,,,,,,,,,43.84,0.27,4.38,10.6,0.11,0.79,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30199,Kareem Hunt,30199,Kareem Hunt,,O,"['RB', 'W/R/T']",W/R/T,12,Pietism,3.17906109465833,2.862480376766090
421,134.0,16.88,16.88,16.88,18.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,0.39,0.9,0.16,,,,,,,,,,,,,,0.11,,,,,,,,,,0.48,,,,,,,,,,231.71,0.16,1.49,2.12,0.74,11.5,23.17,0.37,20.5,32.0,0.05,64.08,,,,,,,,,12,,9265,Matthew Stafford,9265,Matthew Stafford,,O,['QB'],BN,12,Pietism,45.03231468148340,0.3190301624129930
421,136.0,15.57,15.57,15.57,19.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,0.36,0.9,0.15,,,,,,,,,,,,,,0.1,,,,,,,,,,0.44,,,,,,,,,,213.69,0.15,1.37,1.96,0.69,13.09,21.37,0.34,18.91,32.0,0.05,59.09,,,,,,,,,13,,9265,Matthew Stafford,9265,Matthew Stafford,,O,['QB'],BN,12,Pietism,45.03231468148340,0.3190301624129930
421,143.0,15.86,15.86,15.86,22.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,0.37,0.9,0.15,,,,,,,,,,,,,,0.1,,,,,,,,,,0.45,,,,,,,,,,217.7,0.15,1.4,2.0,0.7,12.74,21.77,0.35,19.26,32.0,0.05,60.2,,,,,,,,,14,,9265,Matthew Stafford,9265,Matthew Stafford,,O,['QB'],BN,12,Pietism,45.03231468148340,0.3190301624129930
7562,155.0,4.79,7.57,6.18,68.0,,,,,,1.0,31.0,4.5,0.25,3.1,0.56,0.28,0.28,0.56,0.84,0.56,2.79,,,,,,,,,,,,,,,1.94,,0.19,0.35,,,,,,2.79,,,,,,,,22.01,,,,,,,38.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,12,,33445,Tutu Atwell,33445,Tutu Atwell,,O,"['WR', 'W/R/T']",BN,12,Pietism,2.738489707191110,2.888453434471130
7562,121.0,5.12,7.69,6.4,54.0,,,,,,1.0,35.62,4.5,0.23,3.56,0.51,0.26,0.26,0.51,0.77,0.51,2.57,,,,,,,,,,,,,,,1.79,,0.18,0.32,,,,,,2.57,,,,,,,,20.29,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,13,,33445,Tutu Atwell,33445,Tutu Atwell,,O,"['WR', 'W/R/T']",BN,12,Pietism,2.738489707191110,2.888453434471130
7562,135.0,5.21,7.83,6.52,58.0,,,,,,1.0,36.29,4.5,0.23,3.63,0.52,0.26,0.26,0.52,0.79,0.52,2.62,,,,,,,,,,,,,,,1.82,,0.18,0.33,,,,,,2.62,,,,,,,,20.67,,,,,,,36.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,14,,33445,Tutu Atwell,33445,Tutu Atwell,,O,"['WR', 'W/R/T']",BN,12,Pietism,2.738489707191110,2.888453434471130
5995,191.0,3.88,5.6,4.74,47.0,,,,,,1.0,12.99,2.2,0.07,1.3,0.34,0.17,0.17,0.34,0.52,0.34,1.72,,,,,,,,,,,,,,,15.13,0.11,1.51,3.5,,1.72,,,,,,,,,,,,,,,,,,,23.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,31945,Justice Hill,31945,Justice Hill,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.199539872718040,2.6005439005439
5995,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,31945,Justice Hill,31945,Justice Hill,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.199539872718040,2.6005439005439
5995,166.0,5.22,6.96,6.09,37.0,,,,,,1.0,13.15,2.2,0.07,1.32,0.35,0.17,0.17,0.35,0.52,0.35,1.74,,,,,,,,,,,,,,,24.29,0.18,2.43,5.5,,1.74,,,,,,,,,,,,,,,,,,,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,31945,Justice Hill,31945,Justice Hill,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.199539872718040,2.6005439005439
3271,136.0,3.29,5.58,4.43,25.0,,,,,,1.0,22.6,3.3,0.17,2.26,0.46,0.23,0.23,0.46,0.68,0.46,2.28,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,29344,Tyler Higbee,29344,Tyler Higbee,,O,"['TE', 'W/R/T']",BN,12,Pietism,2.4112440259042400,2.0183219178082200
3271,127.0,3.04,5.14,4.09,22.0,,,,,,1.0,20.84,3.3,0.16,2.08,0.42,0.21,0.21,0.42,0.63,0.42,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,29344,Tyler Higbee,29344,Tyler Higbee,,O,"['TE', 'W/R/T']",BN,12,Pietism,2.4112440259042400,2.0183219178082200
3271,149.0,3.09,5.24,4.17,27.0,,,,,,1.0,21.24,3.3,0.16,2.12,0.43,0.21,0.21,0.43,0.64,0.43,2.14,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,29344,Tyler Higbee,29344,Tyler Higbee,,O,"['TE', 'W/R/T']",BN,12,Pietism,2.4112440259042400,2.0183219178082200
7567,179.0,4.51,6.06,5.29,43.0,,,,,,1.0,11.14,2.0,0.06,1.11,0.31,0.16,0.16,0.31,0.47,0.31,1.55,,,,,,,,,,,,,,,20.99,0.16,2.1,4.4,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,33538,Kenneth Gainwell,33538,Kenneth Gainwell,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.8077947376666200,1.7965859030837000
7567,146.0,4.34,5.83,5.09,37.0,,,,,,1.0,10.72,2.0,0.05,1.07,0.3,0.15,0.15,0.3,0.45,0.3,1.49,,,,,,,,,,,,,,,20.2,0.16,2.02,4.4,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,33538,Kenneth Gainwell,33538,Kenneth Gainwell,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.8077947376666200,1.7965859030837000
7567,195.0,4.25,5.71,4.98,44.0,,,,,,1.0,10.49,2.0,0.05,1.05,0.29,0.15,0.15,0.29,0.44,0.29,1.46,,,,,,,,,,,,,,,19.76,0.15,1.98,4.4,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,33538,Kenneth Gainwell,33538,Kenneth Gainwell,,O,"['RB', 'W/R/T']",BN,12,Pietism,2.8077947376666200,1.7965859030837000
4029,292.0,1.94,2.42,2.18,65.0,,,,,,1.0,3.57,0.7,0.02,0.36,0.1,0.05,0.05,0.1,0.14,0.1,0.48,,,,,,,,,,,,,,,10.26,0.08,1.03,2.7,0.03,0.48,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30154,Dalvin Cook,30154,Dalvin Cook,,O,"['RB', 'W/R/T']",BN,12,Pietism,1.1860843246287000,1.9981715893108300
4029,221.0,2.28,2.84,2.56,50.0,,,,,,1.0,4.19,0.7,0.02,0.42,0.11,0.06,0.06,0.11,0.17,0.11,0.56,,,,,,,,,,,,,,,12.04,0.1,1.2,2.7,0.03,0.56,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30154,Dalvin Cook,30154,Dalvin Cook,,O,"['RB', 'W/R/T']",BN,12,Pietism,1.1860843246287000,1.9981715893108300
4029,292.0,2.34,2.92,2.63,60.0,,,,,,1.0,4.32,0.7,0.02,0.43,0.11,0.06,0.06,0.11,0.17,0.11,0.57,,,,,,,,,,,,,,,12.39,0.1,1.24,2.7,0.03,0.57,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30154,Dalvin Cook,30154,Dalvin Cook,,O,"['RB', 'W/R/T']",BN,12,Pietism,1.1860843246287000,1.9981715893108300
DAL,999.0,8.52,8.52,8.52,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,315.08,5.64,0.06,2.84,1.0,18.75,15.82,0.13,0.99,0.62,1.04,0.19,59.0,43.18,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,100006,Dallas,100006,Dallas,,DT,['DEF'],DEF,12,Pietism,1.313868613138690,11.416666666666700
DAL,999.0,7.42,7.42,7.42,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,330.56,4.89,0.05,2.51,1.0,19.25,13.71,0.11,0.87,0.55,0.9,0.16,51.14,37.43,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,100006,Dallas,100006,Dallas,,DT,['DEF'],DEF,12,Pietism,1.313868613138690,11.416666666666700
DAL,999.0,6.22,6.22,6.22,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.15,3.92,0.05,2.07,,22.25,11.0,0.1,0.72,0.45,0.72,0.15,41.04,30.04,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,14,,100006,Dallas,100006,Dallas,,DT,['DEF'],DEF,12,Pietism,1.313868613138690,11.416666666666700
6938,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,32722,Cam Akers,32722,Cam Akers,IR,O,"['RB', 'W/R/T', 'IR']",IR,12,Pietism,4.591481227684210,1.281877022653720
6938,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,32722,Cam Akers,32722,Cam Akers,IR,O,"['RB', 'W/R/T', 'IR']",IR,12,Pietism,4.591481227684210,1.281877022653720
6938,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,32722,Cam Akers,32722,Cam Akers,IR,O,"['RB', 'W/R/T', 'IR']",IR,12,Pietism,4.591481227684210,1.281877022653720
4068,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30120,Mike Williams,30120,Mike Williams,IR,O,"['WR', 'W/R/T', 'IR']",IR,12,Pietism,3.189667456145420,4.253316953316950
4068,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,30120,Mike Williams,30120,Mike Williams,IR,O,"['WR', 'W/R/T', 'IR']",IR,12,Pietism,3.189667456145420,4.253316953316950
4068,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,30120,Mike Williams,30120,Mike Williams,IR,O,"['WR', 'W/R/T', 'IR']",IR,12,Pietism,3.189667456145420,4.253316953316950
