player_id,adp_dd_ppr,pts_std,pts_ppr,pts_half_ppr,pos_adp_dd_ppr,idp_tkl_solo,idp_tkl_ast,idp_tkl,idp_sack,idp_ff,gp,rush_yd,rush_fd,rush_att,rec_yd,rec_tgt,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,bonus_rec_wr,bonus_rec_te,xpmiss,xpm,xpa,fgmiss_50p,fgmiss_40_49,fgmiss_30_39,fgm_yds,fgm_50p,fgm_40_49,fgm_30_39,fgm_20_29,fgm,fga,rush_td,fum_lost,bonus_rec_rb,idp_int,idp_fum_rec,idp_tkl_loss,yds_allow_300_349,yds_allow,tkl_loss,safe,sack,pts_allow_14_20,pts_allow,pr_yd,pass_int_td,int,fum_rec,ff,def_td,def_pr_yd,def_kr_yd,def_fum_td,blk_kick,rush_40p,fum,rush_2pt,yds_allow_200_299,st_td,pr_td,def_pr_td,rec_td_40p,rec_2pt,idp_pass_def,idp_int_ret_yd,pass_yd,pass_td_40p,pass_td,pass_sack,pass_int,pass_inc,pass_fd,pass_cmp_40p,pass_cmp,pass_att,pass_2pt,cmp_pct,idp_sack_yd,idp_qb_hit,pr,yds_allow_350_399,pts_allow_21_27,fgm_0_19,def_kr_td,pts_allow_28_34,Week,yds_allow_400_449,sleeper_id,yahoo_id,yahoo_name
6853,176.0,3.14,5.0,4.07,75.0,,,,,,1.0,0.29,0.03,0.05,22.29,3.4,0.15,2.23,0.37,0.19,0.19,0.37,0.56,0.37,1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,6853,32727.0,Van Jefferson
6853,175.0,3.66,5.82,4.74,79.0,,,,,,1.0,0.34,0.03,0.06,25.97,3.4,0.17,2.6,0.43,0.22,0.22,0.43,0.65,0.43,2.16,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,6853,32727.0,Van Jefferson
8249,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8249,34654.0,Lucas Krull
8249,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,8249,34654.0,Lucas Krull
8249,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8249,34654.0,Lucas Krull
8126,132.0,4.81,8.36,6.58,59.0,,,,,,1.0,2.78,0.28,0.58,28.0,6.1,0.29,2.8,0.71,0.36,0.36,0.71,1.07,0.71,3.55,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8126,33998.0,Wan'Dale Robinson
8126,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,8126,33998.0,Wan'Dale Robinson
8126,80.0,7.01,11.13,9.07,36.0,,,,,,1.0,3.23,0.32,0.67,46.87,6.1,0.33,4.69,0.82,0.41,0.41,0.82,1.24,0.82,4.12,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8126,33998.0,Wan'Dale Robinson
4144,126.0,3.81,6.32,5.06,21.0,,,,,,1.0,,,,27.26,3.8,0.18,2.73,0.5,0.25,0.25,0.5,0.75,0.5,2.51,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4144,30213.0,Jonnu Smith
4144,117.0,3.36,5.59,4.47,21.0,,,,,,1.0,,,,24.12,3.8,0.16,2.41,0.44,0.22,0.22,0.44,0.67,0.44,2.22,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,4144,30213.0,Jonnu Smith
4144,125.0,3.92,6.51,5.22,20.0,,,,,,1.0,,,,28.11,3.8,0.18,2.81,0.52,0.26,0.26,0.52,0.78,0.52,2.59,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,4144,30213.0,Jonnu Smith
7050,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7050,32764.0,Josiah Deguara
7050,210.0,0.68,1.13,0.91,55.0,,,,,,1.0,,,,4.78,0.8,0.03,0.48,0.09,0.04,0.04,0.09,0.13,0.09,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,7050,32764.0,Josiah Deguara
7050,244.0,0.74,1.23,0.98,61.0,,,,,,1.0,,,,5.18,0.8,0.04,0.52,0.1,0.05,0.05,0.1,0.15,0.1,0.48,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,7050,32764.0,Josiah Deguara
2331,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2331,,
2331,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2331,,
2331,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2331,,
9222,337.0,1.02,1.26,1.14,77.0,,,,,,1.0,5.44,0.54,0.1,1.73,0.1,,0.17,0.05,0.02,0.02,0.05,0.07,0.05,0.24,,,,,,,,,,,,,,,,0.05,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,9222,,
9222,321.0,0.11,0.19,0.15,86.0,,,,,,1.0,0.39,0.04,0.1,0.53,0.1,,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.07,,,,,,,,,,,,,,,,0.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,9222,,
9222,384.0,0.12,0.19,0.15,102.0,,,,,,1.0,0.39,0.04,0.1,0.54,0.1,,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.07,,,,,,,,,,,,,,,,0.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,9222,,
8172,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8172,34036.0,Greg Dulcich
8172,97.0,3.85,6.61,5.23,15.0,,,,,,1.0,,,,28.13,4.2,0.17,2.81,0.55,0.28,0.28,0.55,0.83,0.55,2.76,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,8172,34036.0,Greg Dulcich
8172,128.0,3.75,6.44,5.09,21.0,,,,,,1.0,,,,27.39,4.2,0.17,2.74,0.54,0.27,0.27,0.54,0.81,0.54,2.69,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8172,34036.0,Greg Dulcich
9997,76.0,7.54,11.48,9.51,35.0,,,,,,1.0,3.04,0.3,0.55,51.69,6.2,0.35,5.17,0.79,0.39,0.39,0.79,1.18,0.79,3.93,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,9997,40039.0,Zay Flowers
9997,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,9997,40039.0,Zay Flowers
9997,70.0,7.61,11.57,9.59,32.0,,,,,,1.0,3.06,0.31,0.56,52.13,6.2,0.35,5.21,0.79,0.4,0.4,0.79,1.19,0.79,3.97,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,9997,40039.0,Zay Flowers
6803,22.0,9.89,14.79,12.34,12.0,,,,,,1.0,2.72,0.27,0.49,68.13,7.2,0.49,6.81,0.98,0.49,0.49,0.98,1.47,0.98,4.9,4.9,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,12,,6803,32695.0,Brandon Aiyuk
6803,43.0,8.47,12.67,10.57,18.0,,,,,,1.0,2.34,0.23,0.42,58.39,6.5,0.42,5.84,0.84,0.42,0.42,0.84,1.26,0.84,4.2,4.2,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,13,,6803,32695.0,Brandon Aiyuk
6803,40.0,8.85,13.23,11.04,19.0,,,,,,1.0,2.44,0.24,0.44,60.99,6.5,0.44,6.1,0.88,0.44,0.44,0.88,1.31,0.88,4.38,4.38,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,14,,6803,32695.0,Brandon Aiyuk
5010,220.0,1.09,1.85,1.47,48.0,,,,,,1.0,,,,7.64,1.3,0.05,0.76,0.15,0.08,0.08,0.15,0.23,0.15,0.76,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,5010,31090.0,Will Dissly
5010,189.0,1.11,1.89,1.5,41.0,,,,,,1.0,,,,7.82,1.3,0.06,0.78,0.16,0.08,0.08,0.16,0.23,0.16,0.78,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,5010,31090.0,Will Dissly
5010,220.0,1.15,1.95,1.55,48.0,,,,,,1.0,,,,8.08,1.3,0.06,0.81,0.16,0.08,0.08,0.16,0.24,0.16,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,5010,31090.0,Will Dissly
11130,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,11130,40354.0,Pokey Wilson
11130,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,11130,40354.0,Pokey Wilson
11130,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,11130,40354.0,Pokey Wilson
11231,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,11231,40472.0,Christian Trahan
11231,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,11231,40472.0,Christian Trahan
11231,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,11231,40472.0,Christian Trahan
7602,120.0,3.94,6.58,5.26,17.0,,,,,,1.0,,,,26.18,3.8,0.22,2.62,0.53,0.26,0.26,0.53,0.79,0.53,2.64,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7602,33515.0,Kylen Granson
7602,108.0,3.68,6.15,4.92,20.0,,,,,,1.0,,,,24.48,3.8,0.21,2.45,0.49,0.25,0.25,0.49,0.74,0.49,2.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,7602,33515.0,Kylen Granson
7602,134.0,3.58,5.98,4.78,24.0,,,,,,1.0,,,,23.8,3.8,0.2,2.38,0.48,0.24,0.24,0.48,0.72,0.48,2.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,7602,33515.0,Kylen Granson
9500,80.0,6.9,11.29,9.1,36.0,,,,,,1.0,2.55,0.25,0.53,50.67,6.5,0.26,5.07,0.88,0.44,0.44,0.88,1.32,0.88,4.39,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,12,,9500,40126.0,Josh Downs
9500,76.0,6.45,10.56,8.51,33.0,,,,,,1.0,2.38,0.24,0.49,47.37,6.5,0.25,4.74,0.82,0.41,0.41,0.82,1.23,0.82,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,13,,9500,40126.0,Josh Downs
9500,91.0,6.27,10.26,8.27,41.0,,,,,,1.0,2.31,0.23,0.48,46.05,6.5,0.24,4.61,0.8,0.4,0.4,0.8,1.2,0.8,3.99,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,14,,9500,40126.0,Josh Downs
947,255.0,2.35,3.37,2.86,99.0,,,,,,1.0,1.17,0.12,0.15,13.56,1.8,0.15,1.36,0.2,0.1,0.1,0.2,0.31,0.2,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,12,,947,,
947,217.0,2.26,3.24,2.75,85.0,,,,,,1.0,1.12,0.11,0.14,13.05,1.8,0.14,1.3,0.2,0.1,0.1,0.2,0.29,0.2,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,13,,947,,
947,242.0,2.21,3.17,2.69,100.0,,,,,,1.0,1.1,0.11,0.14,12.76,1.8,0.14,1.28,0.19,0.1,0.1,0.19,0.29,0.19,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,14,,947,,
650,999.0,7.75,7.75,7.75,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.05,2.41,2.46,0.12,0.12,,62.47,0.12,0.5,0.5,0.43,1.55,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,650,8432.0,Nick Folk
650,999.0,7.16,7.16,7.16,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.06,2.23,2.29,0.11,0.11,,57.67,0.11,0.46,0.46,0.4,1.43,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,650,8432.0,Nick Folk
650,999.0,6.87,6.87,6.87,999.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.05,2.14,2.2,0.11,0.11,,55.33,0.11,0.44,0.44,0.38,1.37,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,650,8432.0,Nick Folk
4984,36.0,22.15,22.15,22.15,5.0,,,,,,1.0,19.06,1.91,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.21,,,,,,,,,,,,,0.06,,,,,,,0.05,,0.03,0.53,0.03,,,,,,,,,239.7,0.17,1.83,1.94,0.8,12.35,23.97,0.57,20.75,33.1,0.06,62.69,,,,,,,,,12,,4984,30977.0,Josh Allen
4984,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,4984,30977.0,Josh Allen
4984,60.0,20.65,20.65,20.65,6.0,,,,,,1.0,18.47,1.85,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.21,,,,,,,,,,,,,0.06,,,,,,,0.05,,0.03,0.51,0.03,,,,,,,,,232.33,0.17,1.77,1.88,0.78,12.99,23.23,0.55,20.11,33.1,0.06,60.77,,,,,,,,,14,,4984,30977.0,Josh Allen
8144,35.0,8.95,13.61,11.28,15.0,,,,,,1.0,0.29,0.03,0.06,66.22,7.7,0.4,6.62,0.93,0.47,0.47,0.93,1.4,0.93,4.66,4.66,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,12,,8144,33966.0,Chris Olave
8144,29.0,8.91,13.55,11.23,10.0,,,,,,1.0,0.29,0.03,0.06,65.93,7.7,0.4,6.59,0.93,0.46,0.46,0.93,1.39,0.93,4.64,4.64,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,13,,8144,33966.0,Chris Olave
8144,27.0,9.35,14.22,11.79,14.0,,,,,,1.0,0.3,0.03,0.06,69.2,7.7,0.42,6.92,0.97,0.49,0.49,0.97,1.46,0.97,4.87,4.87,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,14,,8144,33966.0,Chris Olave
8114,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8114,,
8114,303.0,0.44,0.7,0.57,126.0,,,,,,1.0,0.55,0.05,0.11,2.74,0.4,0.02,0.27,0.05,0.03,0.03,0.05,0.08,0.05,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,8114,,
8114,328.0,0.44,0.7,0.57,141.0,,,,,,1.0,0.55,0.06,0.11,2.75,0.4,0.02,0.28,0.05,0.03,0.03,0.05,0.08,0.05,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8114,,
7537,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7537,,
7537,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,7537,,
7537,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,7537,,
4198,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4198,30278.0,Jamal Agnew
4198,240.0,1.75,2.64,2.2,91.0,,,,,,1.0,2.89,0.29,0.53,8.71,1.2,0.07,0.87,0.18,0.09,0.09,0.18,0.27,0.18,0.89,0.89,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,12.6,,,,,,,34.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,0.06,,13,,4198,30278.0,Jamal Agnew
4198,260.0,1.71,2.58,2.15,107.0,,,,,,1.0,2.83,0.28,0.51,8.52,1.2,0.06,0.85,0.17,0.09,0.09,0.17,0.26,0.17,0.87,0.87,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,12.33,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,0.06,,14,,4198,30278.0,Jamal Agnew
